epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2745,0.77561,4.02174,1.00519,0.14112,0.29955,0.13728,0.1219,0.49756,3.38219,0.86488,5.336e-05,5.336e-05,5.336e-05
2,121.069,0.73914,2.53009,1.01549,0.38561,0.41203,0.35411,0.30627,0.56274,4.12964,0.91748,0.000111519,0.000111519,0.000111519
3,171.779,0.65001,1.85096,0.96521,0.52934,0.56488,0.53335,0.47338,0.51692,2.49439,0.91588,0.000167697,0.000167697,0.000167697
4,221.866,0.59193,1.42892,0.9156,0.67767,0.71433,0.79029,0.70622,0.50655,2.01737,0.92587,0.000221894,0.000221894,0.000221894
5,270.897,0.65688,1.21894,0.92867,0.67006,0.80988,0.79827,0.69791,0.58515,1.85435,0.9305,0.00027411,0.00027411,0.00027411
6,320.516,0.60105,0.98985,0.93055,0.8438,0.76963,0.8955,0.79778,0.52877,1.26906,0.90088,0.000324345,0.000324345,0.000324345
7,366.333,0.5775,0.80805,0.91046,0.85027,0.82711,0.923,0.82374,0.50091,1.12086,0.90739,0.0003726,0.0003726,0.0003726
8,413.55,0.5854,0.77389,0.90307,0.86356,0.80514,0.92539,0.80282,0.56739,0.97627,0.96049,0.000418873,0.000418873,0.000418873
9,459.673,0.63002,0.70982,0.91272,0.81882,0.71858,0.87006,0.76424,0.56148,1.20929,0.96735,0.000463165,0.000463165,0.000463165
10,504.287,0.63906,0.86838,0.95383,0.85511,0.76286,0.9098,0.7997,0.56545,1.09476,0.97668,0.000505476,0.000505476,0.000505476
11,551.667,0.6118,0.64757,0.91683,0.86868,0.84431,0.95232,0.8403,0.54307,0.90581,0.94577,0.000545806,0.000545806,0.000545806
12,602.431,0.66983,0.67174,1.01327,0.86023,0.74411,0.90807,0.78341,0.61286,1.05005,1.00707,0.00054594,0.00054594,0.00054594
13,650.386,0.60376,0.59385,0.92987,0.80693,0.90942,0.93964,0.82115,0.56338,0.74011,0.96238,0.000534934,0.000534934,0.000534934
14,697.815,0.61733,0.5682,0.93328,0.85338,0.88808,0.9579,0.82739,0.59912,0.64312,1.03426,0.000523928,0.000523928,0.000523928
15,746.055,0.58696,0.52526,0.91853,0.89372,0.91843,0.96972,0.85101,0.52501,0.53584,0.95884,0.000512923,0.000512923,0.000512923
16,794.968,0.61782,0.60487,0.95719,0.8927,0.95308,0.97739,0.86509,0.51737,0.57722,0.93472,0.000501917,0.000501917,0.000501917
17,844.287,0.53144,0.54398,0.88514,0.90127,0.92215,0.97291,0.86629,0.57925,0.66222,0.95862,0.000490912,0.000490912,0.000490912
18,892.897,0.56519,0.60268,0.89947,0.92686,0.9487,0.9722,0.86869,0.48432,0.49709,0.92296,0.000479907,0.000479907,0.000479907
19,942.416,0.58799,0.54534,0.90506,0.91894,0.9611,0.97204,0.87642,0.50014,0.46055,0.92107,0.000468901,0.000468901,0.000468901
20,991.848,0.59639,0.52056,0.91388,0.92711,0.94528,0.96919,0.87677,0.53821,0.48118,0.94914,0.000457895,0.000457895,0.000457895
21,1043.31,0.55275,0.49299,0.89443,0.95235,0.9402,0.96938,0.86854,0.53505,0.44187,0.9418,0.00044689,0.00044689,0.00044689
22,1093.27,0.5642,0.47804,0.91292,0.91571,0.93239,0.96261,0.86522,0.46376,0.45355,0.91426,0.000435884,0.000435884,0.000435884
23,1143.78,0.56895,0.54737,0.93845,0.93243,0.935,0.96083,0.86149,0.463,0.42697,0.9126,0.000424879,0.000424879,0.000424879
24,1194.74,0.56619,0.50302,0.90229,0.91295,0.94107,0.95355,0.85114,0.52795,0.49075,0.94941,0.000413873,0.000413873,0.000413873
25,1245.38,0.52124,0.46853,0.90668,0.94805,0.90533,0.94821,0.85488,0.50611,0.51523,0.9343,0.000402868,0.000402868,0.000402868
26,1295.47,0.51519,0.44329,0.88225,0.92464,0.90523,0.9413,0.84921,0.4727,0.4998,0.91203,0.000391862,0.000391862,0.000391862
27,1345.9,0.56867,0.46962,0.91776,0.94074,0.93428,0.9555,0.86254,0.4805,0.41603,0.90952,0.000380857,0.000380857,0.000380857
28,1397.93,0.53543,0.45609,0.91872,0.95522,0.9523,0.97077,0.87541,0.48822,0.38269,0.91132,0.000369851,0.000369851,0.000369851
29,1449.65,0.49928,0.399,0.88197,0.95441,0.94391,0.97415,0.8809,0.4468,0.38266,0.89455,0.000358846,0.000358846,0.000358846
30,1504.06,0.49997,0.40562,0.88004,0.96469,0.94876,0.9753,0.87859,0.44974,0.39256,0.89658,0.00034784,0.00034784,0.00034784
31,1556.34,0.52252,0.47066,0.89876,0.93381,0.96584,0.97549,0.88551,0.43106,0.36007,0.89054,0.000336835,0.000336835,0.000336835
32,1611.18,0.48149,0.38728,0.88798,0.96035,0.96024,0.97331,0.88646,0.44043,0.34428,0.89069,0.000325829,0.000325829,0.000325829
33,1666.8,0.49705,0.40233,0.87991,0.97375,0.94606,0.97509,0.8785,0.44837,0.34409,0.89665,0.000314824,0.000314824,0.000314824
34,1720.46,0.4962,0.41227,0.89955,0.96821,0.94894,0.97147,0.88026,0.44905,0.35983,0.896,0.000303818,0.000303818,0.000303818
35,1774.71,0.50941,0.44249,0.90108,0.96054,0.95607,0.97063,0.8782,0.46019,0.36655,0.91006,0.000292813,0.000292813,0.000292813
36,1831.69,0.51326,0.48397,0.92984,0.90971,0.95748,0.97049,0.88166,0.48801,0.43599,0.9152,0.000281807,0.000281807,0.000281807
37,1888.43,0.51867,0.44975,0.92494,0.93605,0.9575,0.97113,0.87573,0.48243,0.44289,0.91822,0.000270802,0.000270802,0.000270802
38,1942.74,0.49143,0.38024,0.90759,0.95877,0.94384,0.97394,0.8829,0.4873,0.40674,0.91831,0.000259796,0.000259796,0.000259796
39,1998.51,0.46032,0.38552,0.89542,0.94847,0.96472,0.97369,0.88063,0.47739,0.3744,0.91082,0.000248791,0.000248791,0.000248791
40,2053.55,0.47052,0.3784,0.89878,0.95544,0.94177,0.97252,0.87978,0.46796,0.37971,0.91291,0.000237785,0.000237785,0.000237785
41,2109.71,0.4838,0.3801,0.89976,0.94756,0.95619,0.97138,0.8701,0.48029,0.4162,0.90928,0.00022678,0.00022678,0.00022678
42,2166.09,0.49172,0.43762,0.91887,0.96998,0.94211,0.97686,0.87363,0.49731,0.43448,0.91575,0.000215774,0.000215774,0.000215774
43,2225.13,0.47564,0.35382,0.87553,0.97097,0.96868,0.97997,0.8838,0.47451,0.37587,0.90952,0.000204769,0.000204769,0.000204769
44,2283.52,0.42331,0.32638,0.87006,0.97273,0.96732,0.98149,0.88302,0.47378,0.35568,0.90245,0.000193763,0.000193763,0.000193763
45,2341.61,0.50497,0.36695,0.95753,0.96949,0.96953,0.9821,0.88655,0.46858,0.34422,0.9015,0.000182758,0.000182758,0.000182758
46,2401.5,0.43312,0.33575,0.87117,0.96311,0.97278,0.9832,0.89508,0.47389,0.33701,0.90762,0.000171752,0.000171752,0.000171752
47,2461.82,0.47035,0.36699,0.8893,0.96199,0.97609,0.9832,0.89737,0.46637,0.31596,0.90059,0.000160747,0.000160747,0.000160747
48,2522.32,0.42566,0.3189,0.86501,0.97807,0.96853,0.98339,0.89915,0.45425,0.3144,0.89188,0.000149741,0.000149741,0.000149741
49,2582.61,0.41457,0.32507,0.86676,0.96646,0.97861,0.98342,0.89375,0.45204,0.29436,0.89501,0.000138736,0.000138736,0.000138736
