epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.03069,0.89448,4.62946,1.08362,0.16421,0.18582,0.12476,0.10855,0.57392,3.05671,0.84202,5.336e-05,5.336e-05,5.336e-05
2,1.9729,0.71463,2.94258,0.96186,0.25968,0.50414,0.35921,0.32293,0.46331,3.79996,0.82872,0.000111519,0.000111519,0.000111519
3,2.82353,0.69115,2.08444,0.96508,0.67108,0.50976,0.58487,0.52148,0.49703,2.06322,0.78524,0.000167697,0.000167697,0.000167697
4,3.59855,0.64781,1.57893,0.95749,0.7176,0.66107,0.78105,0.69379,0.53173,1.70344,0.78603,0.000221894,0.000221894,0.000221894
5,4.34999,0.64321,1.27451,0.93079,0.72517,0.73372,0.77631,0.66859,0.58532,1.39282,0.83024,0.00027411,0.00027411,0.00027411
6,5.03622,0.64817,1.05723,0.93544,0.85164,0.80873,0.91264,0.80688,0.52388,0.86811,0.81468,0.000324345,0.000324345,0.000324345
7,5.72293,0.64776,1.05375,0.9793,0.75009,0.75923,0.87448,0.77068,0.53087,0.93255,0.81509,0.0003726,0.0003726,0.0003726
8,6.3747,0.63278,1.11909,0.92205,0.74764,0.80641,0.85681,0.7646,0.55297,0.81823,0.81974,0.000418873,0.000418873,0.000418873
9,7.01999,0.70541,0.94203,1.01393,0.88163,0.78482,0.88541,0.77486,0.56214,0.72028,0.83048,0.000463165,0.000463165,0.000463165
10,7.6562,0.63173,0.90342,0.93676,0.89425,0.83209,0.90394,0.78674,0.56875,0.69163,0.83211,0.000505476,0.000505476,0.000505476
11,8.29516,0.59368,0.75941,0.93688,0.90729,0.8396,0.92312,0.8022,0.5593,0.57434,0.82772,0.000545806,0.000545806,0.000545806
12,8.94106,0.5755,0.64271,0.89395,0.86549,0.83286,0.89511,0.75512,0.56908,0.60629,0.8438,0.00054594,0.00054594,0.00054594
13,9.57969,0.64046,0.72043,0.93607,0.87095,0.86812,0.92668,0.81728,0.52149,0.51319,0.81967,0.000534934,0.000534934,0.000534934
14,10.2415,0.61098,0.74789,0.92721,0.86179,0.88341,0.93506,0.82183,0.54514,0.51645,0.83103,0.000523928,0.000523928,0.000523928
15,10.9084,0.58544,0.61292,0.91721,0.92387,0.91277,0.94775,0.84713,0.49645,0.44334,0.81955,0.000512923,0.000512923,0.000512923
16,11.5765,0.65091,0.70022,0.97547,0.92271,0.92461,0.96454,0.85091,0.52154,0.43694,0.8302,0.000501917,0.000501917,0.000501917
17,12.2389,0.58269,0.73543,0.92547,0.9073,0.89009,0.95198,0.84108,0.49066,0.47656,0.82133,0.000490912,0.000490912,0.000490912
18,12.8746,0.59599,0.58643,0.96292,0.83569,0.95996,0.93741,0.82427,0.48181,0.45806,0.82517,0.000479907,0.000479907,0.000479907
19,13.5111,0.54968,0.49902,0.92469,0.93622,0.87504,0.95442,0.84329,0.49538,0.47146,0.82403,0.000468901,0.000468901,0.000468901
20,14.1549,0.53754,0.49524,0.8927,0.9544,0.93201,0.95512,0.85212,0.52985,0.43342,0.8331,0.000457895,0.000457895,0.000457895
21,14.814,0.58005,0.49992,0.91747,0.9078,0.93355,0.94967,0.84642,0.4918,0.42442,0.83058,0.00044689,0.00044689,0.00044689
22,15.4492,0.57379,0.49884,0.92752,0.93191,0.91991,0.95551,0.8472,0.50158,0.39436,0.82226,0.000435884,0.000435884,0.000435884
23,16.0844,0.53516,0.44545,0.90514,0.92336,0.90793,0.96324,0.85255,0.52084,0.38739,0.83034,0.000424879,0.000424879,0.000424879
24,16.7523,0.57579,0.47473,0.90297,0.91716,0.95035,0.96336,0.86569,0.48503,0.37797,0.82637,0.000413873,0.000413873,0.000413873
25,17.4108,0.5365,0.43816,0.90568,0.94446,0.94231,0.97046,0.86809,0.4857,0.37595,0.82092,0.000402868,0.000402868,0.000402868
26,18.0689,0.53883,0.46393,0.90103,0.93664,0.94365,0.968,0.87387,0.46214,0.36166,0.81367,0.000391862,0.000391862,0.000391862
27,18.7306,0.63793,0.53719,0.91546,0.9408,0.94376,0.96604,0.86805,0.46949,0.37074,0.81519,0.000380857,0.000380857,0.000380857
28,19.3748,0.52311,0.45622,0.89633,0.92163,0.94631,0.96373,0.84295,0.53658,0.40247,0.84302,0.000369851,0.000369851,0.000369851
29,20.0117,0.51167,0.42016,0.9016,0.95533,0.92199,0.95315,0.85364,0.50826,0.39895,0.82856,0.000358846,0.000358846,0.000358846
30,20.644,0.56876,0.49529,0.94952,0.94105,0.94538,0.95515,0.85756,0.49671,0.39574,0.82065,0.00034784,0.00034784,0.00034784
31,21.2783,0.48619,0.41511,0.88784,0.93731,0.93703,0.95231,0.85677,0.49825,0.38174,0.8169,0.000336835,0.000336835,0.000336835
32,21.9219,0.46907,0.38159,0.88027,0.95408,0.92599,0.95338,0.85218,0.49412,0.39458,0.82412,0.000325829,0.000325829,0.000325829
33,22.555,0.49887,0.3957,0.87648,0.95961,0.92554,0.95492,0.8581,0.45772,0.38951,0.81339,0.000314824,0.000314824,0.000314824
34,23.1886,0.50827,0.40942,0.91904,0.95186,0.92308,0.9559,0.86727,0.45274,0.3584,0.81611,0.000303818,0.000303818,0.000303818
35,23.8236,0.49646,0.39015,0.91769,0.96953,0.93556,0.96082,0.86387,0.46044,0.35081,0.8197,0.000292813,0.000292813,0.000292813
36,24.4682,0.47803,0.43478,0.89996,0.96982,0.94885,0.96711,0.86965,0.48281,0.34252,0.82536,0.000281807,0.000281807,0.000281807
