epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.03588,1.45963,4.59377,1.21678,0.33587,0.33465,0.18887,0.09077,1.5661,4.28081,1.37851,0.00048,0.00048,0.00048
2,3.76211,1.67482,2.36262,1.35052,0.01397,0.09449,0.00373,0.00165,2.21591,9.27798,2.18268,0.00096383,0.00096383,0.00096383
3,5.44937,1.7728,2.21631,1.4614,0.00481,0.1063,0.00235,0.00088,3.23678,71.4826,3.75497,0.00143116,0.00143116,0.00143116
4,7.12294,1.89175,2.24908,1.54487,0.0563,0.34252,0.02921,0.01013,2.45356,22.5513,2.31035,0.00188199,0.00188199,0.00188199
5,8.80469,1.90884,2.11586,1.55375,0.02066,0.16142,0.01505,0.00547,2.3289,40.7394,2.25931,0.001868,0.001868,0.001868
6,10.4913,1.90357,2.10625,1.5372,0.06695,0.22047,0.06608,0.03447,1.86641,12.9578,1.67309,0.001835,0.001835,0.001835
7,12.1294,1.8316,2.03948,1.5309,0.28141,0.25984,0.18529,0.09099,1.93663,4.52749,1.68525,0.001802,0.001802,0.001802
8,13.7716,1.80869,2.03167,1.49154,0.20552,0.25984,0.14429,0.07441,1.93579,3.85504,1.63585,0.001769,0.001769,0.001769
9,15.4055,1.7963,1.89626,1.42596,0.27493,0.25229,0.17971,0.08965,1.96133,3.17885,1.58452,0.001736,0.001736,0.001736
10,17.0395,1.75568,1.90409,1.43024,0.38676,0.26569,0.2268,0.10346,1.84551,2.33803,1.508,0.001703,0.001703,0.001703
11,18.7389,1.73131,1.85501,1.40768,0.39218,0.32283,0.24984,0.12004,1.88232,3.43353,1.5075,0.00167,0.00167,0.00167
12,20.4211,1.745,1.93549,1.40287,0.43184,0.33465,0.24966,0.12359,1.80398,3.10076,1.49553,0.001637,0.001637,0.001637
13,22.0864,1.68187,1.68474,1.38827,0.50109,0.35433,0.33705,0.17031,1.82884,1.97459,1.47665,0.001604,0.001604,0.001604
14,23.7409,1.66656,1.66765,1.39627,0.40872,0.39734,0.3014,0.15186,1.68599,2.11373,1.4582,0.001571,0.001571,0.001571
15,25.3705,1.59693,1.60724,1.37067,0.51857,0.34252,0.34909,0.176,1.76938,2.19226,1.47032,0.001538,0.001538,0.001538
16,27.0347,1.58552,1.64466,1.3407,0.41134,0.33465,0.32341,0.16849,1.73501,2.02746,1.471,0.001505,0.001505,0.001505
17,28.6642,1.54661,1.57585,1.33272,0.38263,0.40261,0.28951,0.15841,1.63187,2.63917,1.39844,0.001472,0.001472,0.001472
18,30.2869,1.55275,1.57792,1.31096,0.44259,0.29134,0.29681,0.1691,1.70765,1.93317,1.39673,0.001439,0.001439,0.001439
19,31.9104,1.60119,1.6238,1.34117,0.43979,0.3189,0.29856,0.15728,1.78688,2.16252,1.4663,0.001406,0.001406,0.001406
20,33.5368,1.54203,1.57124,1.32486,0.48888,0.29528,0.30097,0.16911,1.71991,2.0357,1.4469,0.001373,0.001373,0.001373
21,35.1562,1.511,1.4298,1.28083,0.53376,0.37795,0.37023,0.18678,1.78136,1.91543,1.46372,0.00134,0.00134,0.00134
22,36.8219,1.47716,1.45293,1.27569,0.52648,0.39764,0.39713,0.21646,1.71406,1.75741,1.40093,0.001307,0.001307,0.001307
23,38.463,1.52482,1.46736,1.31088,0.52124,0.37008,0.36297,0.1986,1.73968,1.89458,1.44152,0.001274,0.001274,0.001274
24,40.0917,1.47565,1.39736,1.25764,0.50329,0.43084,0.41471,0.22453,1.70735,1.71848,1.47305,0.001241,0.001241,0.001241
25,41.7384,1.41824,1.36796,1.23943,0.48199,0.46457,0.42943,0.24274,1.66113,1.68272,1.39889,0.001208,0.001208,0.001208
26,43.3809,1.40213,1.28582,1.20182,0.59644,0.37241,0.3816,0.20948,1.65539,1.71149,1.40825,0.001175,0.001175,0.001175
27,45.008,1.37816,1.4024,1.24263,0.54465,0.41912,0.41687,0.22554,1.63098,1.6879,1.42287,0.001142,0.001142,0.001142
28,46.6334,1.3602,1.28468,1.22612,0.6662,0.36146,0.40111,0.21384,1.63933,1.75381,1.38754,0.001109,0.001109,0.001109
29,48.2511,1.38417,1.26051,1.20769,0.58007,0.39764,0.42911,0.23605,1.64254,1.64345,1.41237,0.001076,0.001076,0.001076
30,49.8732,1.39183,1.31895,1.22497,0.59112,0.40157,0.42159,0.24243,1.52201,1.64026,1.33383,0.001043,0.001043,0.001043
31,51.4915,1.35617,1.29968,1.2158,0.50614,0.31496,0.33366,0.20289,1.56073,1.89327,1.36203,0.00101,0.00101,0.00101
32,53.1191,1.33765,1.21639,1.19408,0.60467,0.39764,0.40504,0.22593,1.63645,1.66118,1.40035,0.000977,0.000977,0.000977
33,54.7362,1.31484,1.18739,1.18984,0.5283,0.42126,0.38905,0.21667,1.63594,1.67321,1.39721,0.000944,0.000944,0.000944
34,56.3616,1.32446,1.16312,1.16972,0.61769,0.36258,0.39615,0.23641,1.59914,1.68893,1.35171,0.000911,0.000911,0.000911
